frame_number,subframe_number,time_cpu_cycles,guide_freq,vme_guide_freq,coarse_freq,runner_up_freq,fine_freq,tracked_freq,coarse_peak_mag,runner_up_peak_mag,fine_peak_mag,tracked_peak_mag,signal_power,competition_ratio,guide_vme_gap_hz,coarse_fine_gap_hz,tracked_fine_gap_hz,vme_last_rel_err,estimate_seq,inter_frame_proc_time_usec,inter_frame_proc_margin_usec,tx_write_time_usec,tx_overwrite_count,vme_iterations,track_selected,step_limited,valid
457,0,3340815454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4911,31690,2131,0,0,0,0,0
467,0,3440795176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4818,31737,2131,0,0,0,0,0
477,0,3540802397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4851,31851,2131,0,0,0,0,0
487,0,3645201556,1.3517587184906006,1.350000023841858,1.3517587184906006,1.3819096088409424,1.349648118019104,0.0,25.78218650817871,5.190230369567871,25.922035217285156,0.0,0.0012959919404238462,0.20131070911884308,0.0017586946487426758,0.002110600471496582,1.349648118019104,2.8266967759538186e-12,9,4922,31822,2131,0,3,0,0,1
497,0,3746533952,1.3567838668823242,1.350000262260437,1.3517587184906006,1.3819096088409424,1.3499488830566406,1.3499488830566406,21.289268493652344,4.431905746459961,21.360740661621094,21.360740661621094,0.0010680552804842591,0.20817556977272034,0.006783604621887207,0.001809835433959961,0.0,1.6180576323243656e-10,10,4871,31746,2131,0,3,1,0,1
507,0,3846565572,1.3718593120574951,1.350000023841858,1.3517587184906006,1.3819096088409424,1.3502496480941772,1.3502496480941772,8.615206718444824,1.7939684391021729,8.644783973693848,8.644783973693848,0.0004322323657106608,0.20823277533054352,0.021859288215637207,0.0015090703964233398,0.0,3.212461630042185e-09,11,4907,31640,2135,0,4,1,0,1
517,0,3946524751,1.3819096088409424,1.399999976158142,1.4020100831985474,1.3718593120574951,1.3652496337890625,1.3998737335205078,16.03603744506836,5.086533546447754,16.14998435974121,16.14998435974121,0.0008074314682744443,0.3171939253807068,0.018090367317199707,0.03676044940948486,0.03462409973144531,2.573745128131577e-08,12,4813,31726,2131,0,3,1,1,1
527,0,4046572694,1.3819096088409424,1.399999976158142,1.4020100831985474,1.3718593120574951,1.3802496194839478,1.400437593460083,15.29301929473877,4.637493133544922,15.354988098144531,15.354988098144531,0.0007677240064367652,0.3032424747943878,0.018090367317199707,0.02176046371459961,0.020187973976135254,3.037370177594312e-08,13,4976,31610,2131,0,3,1,1,1
537,0,4146548642,1.3819096088409424,1.4000000953674316,1.4020100831985474,1.3718593120574951,1.395249605178833,1.3997985124588013,16.07192611694336,5.001089096069336,16.16366195678711,16.16366195678711,0.0008081984706223011,0.31116923689842224,0.018090486526489258,0.0067604780197143555,0.004548907279968262,2.5247821611174004e-08,14,4865,31735,2131,0,3,1,1,1
547,0,4246539729,1.3819096088409424,1.4000000953674316,1.4020100831985474,1.3718593120574951,1.3997608423233032,1.3997608423233032,19.294551849365234,6.02373743057251,19.40955352783203,19.40955352783203,0.0009704733383841813,0.3121988773345947,0.018090486526489258,0.0022492408752441406,0.0,1.4760182409645495e-08,15,4823,31768,2131,0,3,1,0,1
557,0,51592578,1.3819096088409424,1.4000000953674316,1.4020100831985474,1.3718593120574951,1.4000616073608398,1.4000616073608398,18.8574275970459,5.709713935852051,18.932292938232422,18.932292938232422,0.0009465772891417146,0.3027832806110382,0.018090486526489258,0.0019484758377075195,0.0,1.4864590447416504e-08,16,4912,31765,2131,0,3,1,0,1
567,0,151577120,1.3819096088409424,1.4000002145767212,1.4020100831985474,1.3718593120574951,1.3997608423233032,1.3997608423233032,19.883031845092773,6.30457067489624,20.024953842163086,20.024953842163086,0.0010011190315708518,0.3170829713344574,0.01809060573577881,0.0022492408752441406,0.0,1.2221359924069475e-08,17,4851,31745,2131,0,3,1,0,1
577,0,251718544,1.3869346380233765,1.4000000953674316,1.4020100831985474,1.3718593120574951,1.4000616073608398,1.4000616073608398,23.77787971496582,7.2272047996521,23.878259658813477,23.878259658813477,0.0011938759125769138,0.3039465546607971,0.013065457344055176,0.0019484758377075195,0.0,1.2418051031914956e-09,18,5440,31251,2131,0,3,1,0,1
587,0,351701525,1.3819096088409424,1.4000002145767212,1.4020100831985474,1.3718593120574951,1.3997608423233032,1.3997608423233032,13.756446838378906,4.2373948097229,13.824419021606445,13.824419021606445,0.0006912924582138658,0.30802974104881287,0.01809060573577881,0.0022492408752441406,0.0,2.8396330620239496e-08,19,5373,31167,2131,0,3,1,0,1
