frame_number,subframe_number,time_cpu_cycles,heart_rate_bpm,heart_rate_hz,confidence,sample_rate_hz,range_meters,selected_range_bin,window_length,valid
1620,0,1126670877,75.02561950683594,1.250427007675171,106.7895278930664,10.0,0.5668795108795166,13,200,1
1630,0,1226704787,75.62561798095703,1.2604269981384277,5757.791015625,10.0,0.5668795108795166,13,200,1
1640,0,1326748090,75.62561798095703,1.2604269981384277,69.2129898071289,10.0,0.5668795108795166,13,200,1
1650,0,1426682751,75.62561798095703,1.2604269981384277,58.18927764892578,10.0,0.5668795108795166,13,200,1
1660,0,1526698245,75.62561798095703,1.2604269981384277,49.28535842895508,10.0,0.5668795108795166,13,200,1
1670,0,1626725782,75.62561798095703,1.2604269981384277,106.81910705566406,10.0,0.5668795108795166,13,200,1
1680,0,1726713048,75.62561798095703,1.2604269981384277,4150.16943359375,10.0,0.5668795108795166,13,200,1
1690,0,1826725448,75.62561798095703,1.2604269981384277,205.38351440429688,10.0,0.5668795108795166,13,200,1
1700,0,1926718900,75.62561798095703,1.2604269981384277,177.9632568359375,10.0,0.5668795108795166,13,200,1
1710,0,2026688882,75.62561798095703,1.2604269981384277,4649.47607421875,10.0,0.5668795108795166,13,200,1
1720,0,2126720218,75.62561798095703,1.2604269981384277,6084.76611328125,10.0,0.5668795108795166,13,200,1
1730,0,2226689794,75.62561798095703,1.2604269981384277,4728.67919921875,10.0,0.5668795108795166,13,200,1
1740,0,2326694525,76.22561645507812,1.2704269886016846,4540.294921875,10.0,0.5668795108795166,13,200,1
1750,0,2426715517,76.22561645507812,1.2704269886016846,4805.6240234375,10.0,0.5668795108795166,13,200,1
1760,0,2526685562,76.22561645507812,1.2704269886016846,5742.232421875,10.0,0.5668795108795166,13,200,1
1770,0,2626698007,76.22561645507812,1.2704269886016846,5851.4375,10.0,0.5668795108795166,13,200,1
1780,0,2726715964,76.82562255859375,1.2804269790649414,6618.4677734375,10.0,0.5668795108795166,13,200,1
1790,0,2826774273,76.82562255859375,1.2804269790649414,40.95336151123047,10.0,0.5668795108795166,13,200,1
1800,0,2926726487,76.82562255859375,1.2804269790649414,32.18754959106445,10.0,0.5668795108795166,13,200,1
1810,0,3026716315,76.82562255859375,1.2804269790649414,48.03284454345703,10.0,0.5668795108795166,13,200,1
1820,0,3126724611,77.42562103271484,1.2904269695281982,5015.8681640625,10.0,0.5668795108795166,13,200,1
1830,0,3226739650,77.42562103271484,1.2904269695281982,111.25608825683594,10.0,0.5668795108795166,13,200,1
1840,0,3326739396,77.42562103271484,1.2904269695281982,77.98139190673828,10.0,0.5668795108795166,13,200,1
1850,0,3426740699,77.42562103271484,1.2904269695281982,101.63521575927734,10.0,0.5668795108795166,13,200,1
1860,0,3526747305,77.42562103271484,1.2904269695281982,97.19119262695312,10.0,0.5668795108795166,13,200,1
1870,0,3626756184,78.02561950683594,1.300426959991455,7544.228515625,10.0,0.5668795108795166,13,200,1
1880,0,3726744974,78.02561950683594,1.300426959991455,119.6439437866211,10.0,0.5668795108795166,13,200,1
1890,0,3826732663,78.62561798095703,1.310426950454712,5633.15380859375,10.0,0.5668795108795166,13,200,1
1900,0,3926754336,79.22561645507812,1.3204269409179688,4143.48681640625,10.0,0.5668795108795166,13,200,1
1910,0,4026766109,79.82561492919922,1.3304269313812256,3569.25927734375,10.0,0.5668795108795166,13,200,1
1920,0,4126793464,80.42561340332031,1.3404269218444824,3462.545654296875,10.0,0.5668795108795166,13,200,1
1930,0,4226782826,80.42561340332031,1.3404269218444824,247.85824584960938,10.0,0.5668795108795166,13,200,1
1940,0,31784487,81.01508331298828,1.3502514362335205,5137.90234375,10.0,0.5668795108795166,13,200,1
1950,0,131827188,80.97899627685547,1.3496499061584473,4183.3857421875,10.0,0.5668795108795166,13,200,1
1960,0,231930386,80.99102783203125,1.3498504161834717,7414.2490234375,10.0,0.5668795108795166,13,200,1
1970,0,331880550,81.0030517578125,1.350050926208496,6884.1611328125,10.0,0.5668795108795166,13,200,1
1980,0,431815698,80.99102783203125,1.3498504161834717,8561.3935546875,10.0,0.5668795108795166,13,200,1
1990,0,531961985,81.0030517578125,1.350050926208496,10237.2978515625,10.0,0.5668795108795166,13,200,1
2000,0,631918627,81.01508331298828,1.3502514362335205,9389.240234375,10.0,0.5668795108795166,13,200,1
2010,0,731968020,80.97899627685547,1.3496499061584473,9287.990234375,10.0,0.5668795108795166,13,200,1
2020,0,831938451,81.01508331298828,1.3502514362335205,8967.7587890625,10.0,0.5668795108795166,13,200,1
2030,0,931866495,81.0030517578125,1.350050926208496,9087.4091796875,10.0,0.5668795108795166,13,200,1
2040,0,1032095627,80.99102783203125,1.3498504161834717,10034.056640625,10.0,0.5668795108795166,13,200,1
2050,0,1131926317,81.02711486816406,1.350451946258545,9247.4248046875,10.0,0.5668795108795166,13,200,1
2060,0,1231980009,80.99102783203125,1.3498504161834717,9413.7880859375,10.0,0.5668795108795166,13,200,1
2070,0,1332012376,80.97899627685547,1.3496499061584473,8969.5546875,10.0,0.5668795108795166,13,200,1
2080,0,1431961161,81.01508331298828,1.3502514362335205,9678.5966796875,10.0,0.5668795108795166,13,200,1
2090,0,1531883165,80.97899627685547,1.3496499061584473,8617.2890625,10.0,0.5668795108795166,13,200,1
2100,0,1631803500,80.99102783203125,1.3498504161834717,8932.4833984375,10.0,0.5668795108795166,13,200,1
2110,0,1731778236,81.02711486816406,1.350451946258545,8953.44921875,10.0,0.5668795108795166,13,200,1
